id,industry_name,description
1,Technology,Software development and technology services
2,Healthcare,Medical services and healthcare providers
3,Finance,Banking and financial services
4,Education,Educational institutions and services
5,Retail,Retail and e-commerce businesses
6,Manufacturing,Manufacturing and industrial production
7,Consulting,Business consulting and professional services
8,Marketing,Digital marketing and advertising agencies
9,Real Estate,Real estate development and services
10,Non-profit,Non-profit organizations and charities
11,Hospitality,Hotels and hospitality services
12,Transportation,Logistics and transportation services
13,Energy,Renewable energy and utilities
14,Media,Media production and entertainment
15,Construction,Construction and engineering services
